,core,series_size,xtsne,ytsne,MID,ASID,newASID
0,O=C(OCc1ccccc1)c1ccccc1,1,-325.9073,148.70413,M1,AS22,1
1,O=C(OCCc1ccccc1)c1ccccc1,1,-254.11494,227.5578,M2,AS21,2
2,O=C(O)C=Cc1ccc(OC(=O)C=CC2=CC=CCC2)cc1,1,406.30338,-240.77428,M30,AS1,3
3,O=C(C=Cc1ccc(O)cc1)OCC=Cc1ccccc1,1,115.76399,7.2333674,M26,AS5,4
4,O=C(C=Cc1ccc(O)c(O)c1)OCC=Cc1ccccc1,1,197.24442,-99.167076,M24,AS4,5
5,O=C(C=Cc1ccc(O)cc1)OCc1ccccc1,1,-155.98453,-148.32698,M22,AS16,6
6,COc1cc(C=CC(=O)OCc2ccccc2)ccc1O,1,-58.10177,-267.0524,M21,AS8,7
7,COc1cc(C=CCOC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,1,57.119522,-135.77692,M20,AS9,8
8,COc1cc(C=CCOC(=O)c2ccccc2)ccc1O,1,285.29977,120.70746,M19,AS10,9
9,O=C(C=Cc1ccc(O)c(O)c1)OCc1ccccc1,1,57.131187,-309.48373,M18,AS14,10
10,O=C(C=Cc1ccc(O)c(O)c1)Oc1ccccc1,1,233.27026,-283.55292,M17,AS15,11
11,O=C(OCC=Cc1ccccc1)c1ccccc1,1,145.31458,220.34337,M16,AS20,12
12,COc1ccc(C=CCOC(=O)C=Cc2ccccc2)cc1,1,-13.645799,27.782784,M15,AS3,13
13,Cc1ccc(C(=O)NN=Cc2ccccc2)cc1,1,82.74063,440.59998,M13,AS12,14
14,O=C(C=Cc1ccccc1)OCc1ccccc1,1,-168.43518,-43.780483,M12,AS18,15
15,O=C(C=Cc1ccccc1)OCC=Cc1ccccc1,1,72.53699,105.23007,M11,AS17,16
16,O=C(C=Cc1ccccc1)c1ccccc1,1,-33.825523,297.70404,M10,AS19,17
17,COc1ccccc1C(=O)OCc1ccccc1,1,-449.4328,57.055183,M9,AS11,18
18,O=[N+]([O-])c1ccccc1C1=NN(c2ccccc2)CC1,1,-257.73322,452.0774,M8,AS6,19
19,c1ccc(-c2csc(-c3ccccc3)c2)cc1,1,-98.99045,532.0053,M6,AS24,20
20,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1,1,134.99696,-399.72375,M5,AS13,21
21,C(=Cc1ccccc1)c1ccccc1,1,-81.55359,393.05664,M4,AS7,22
22,O=C(OCc1ccccc1)c1ccccc1O,1,-447.62582,171.23491,M3,AS23,23
23,CC(=O)C(O)C(O)C(O)(C(=O)C=Cc1ccc(O)cc1)C(=O)C=Cc1ccc(O)cc1,1,-329.3708,-241.80597,M32,AS2,24
