ASID	MID	Mnmols	ASnmols
AS1	M14	3	4
AS1	M11	3	4
AS1	M25	1	4
AS1	M175	1	4
AS2	M82	1	1
AS2	M83	1	1
AS2	M81	1	1
AS3	M43	1	1
AS3	M44	1	1
AS4	M149	1	5
AS4	M76	3	5
AS4	M150	1	5
AS4	M86	3	5
AS4	M87	1	5
AS4	M125	1	5
AS4	M126	1	5
AS4	M148	1	5
AS4	M147	1	5
AS4	M75	1	5
AS5	M7	1	1
AS5	M8	1	1
AS6	M27	1	1
AS6	M28	1	1
AS7	M10	1	1
AS7	M9	1	1
AS8	M180	1	1
AS8	M181	1	1
AS9	M73	2	2
AS9	M153	1	2
AS9	M154	1	2
AS10	M64	2	2
AS10	M176	1	2
AS11	M61	1	1
AS11	M62	1	1
AS12	M51	1	1
AS12	M52	1	1
AS13	M50	1	1
AS13	M49	1	1
AS14	M95	1	1
AS14	M96	1	1
AS15	M129	1	2
AS15	M104	1	2
AS15	M103	2	2
AS16	M15	1	1
AS16	M16	1	1
AS17	M30	1	1
AS17	M31	1	1
AS18	M47	1	1
AS18	M48	1	1
AS18	M46	1	1
AS19	M69	2	2
AS19	M70	1	2
AS19	M109	1	2
AS20	M97	1	1
AS20	M98	1	1
AS21	M33	1	1
AS21	M34	1	1
AS22	M101	2	2
AS22	M102	1	2
AS22	M118	1	2
AS23	M80	1	2
AS23	M79	2	2
AS23	M94	1	2
AS24	M119	1	1
AS24	M120	1	1
AS25	M53	1	1
AS25	M54	1	1
AS26	M166	1	1
AS26	M167	1	1
AS27	M111	1	1
AS27	M112	1	1
AS28	M162	1	1
AS28	M161	1	1
AS29	M155	1	1
AS29	M156	1	1
AS30	M164	1	1
AS30	M165	1	1
AS31	M138	2	2
AS31	M146	1	2
AS31	M139	1	2
AS32	M137	1	1
AS32	M136	1	1
AS33	M100	1	2
AS33	M90	2	2
AS33	M91	1	2
AS34	M88	2	2
AS34	M117	1	2
AS34	M89	1	2
AS35	M124	1	2
AS35	M84	2	2
AS35	M85	1	2
AS36	M151	1	1
AS36	M152	1	1
AS37	M144	1	1
AS37	M145	1	1
AS38	M131	1	1
AS38	M132	1	1
AS39	M134	1	1
AS39	M133	1	1
AS40	M127	1	2
AS40	M68	1	2
AS40	M67	2	2
AS41	M23	1	1
AS41	M22	1	1
AS42	M142	1	1
AS42	M143	1	1
AS43	M35	1	1
AS44	M179	1	1
AS45	M78	1	1
AS46	M173	1	1
AS47	M169	1	1
AS48	M140	1	1
AS49	M36	1	1
AS50	M113	1	1
AS51	M77	1	1
AS52	M105	1	1
AS53	M18	1	1
AS54	M121	1	1
AS55	M110	1	1
AS56	M123	1	1
AS57	M32	1	1
AS58	M60	1	1
AS59	M17	1	1
AS60	M122	1	1
AS61	M13	1	1
AS62	M177	1	1
AS63	M24	1	1
AS64	M26	1	1
AS65	M57	1	1
AS66	M130	1	1
AS67	M71	1	1
AS68	M116	1	1
AS69	M65	1	1
AS70	M115	1	1
AS71	M66	1	1
AS72	M74	1	1
AS73	M106	1	1
AS74	M135	1	1
AS75	M29	1	1
AS76	M12	1	1
AS77	M174	1	1
AS78	M40	1	1
AS79	M19	1	1
AS80	M38	1	1
AS81	M168	1	1
AS82	M56	1	1
AS83	M55	1	1
AS84	M160	1	1
AS85	M5	1	1
AS86	M4	1	1
AS87	M159	1	1
AS88	M37	1	1
AS89	M20	1	1
AS90	M171	1	1
AS91	M170	1	1
AS92	M128	1	1
AS93	M158	1	1
AS94	M45	1	1
AS95	M178	1	1
AS96	M163	1	1
AS97	M59	1	1
AS98	M157	1	1
AS99	M93	1	1
AS100	M41	1	1
AS101	M2	1	1
AS102	M21	1	1
AS103	M172	1	1
AS104	M3	1	1
AS105	M39	1	1
AS106	M1	1	1
AS107	M42	1	1
AS108	M58	1	1
AS109	M92	1	1
AS110	M114	1	1
AS111	M108	1	1
AS112	M99	1	1
AS113	M107	1	1
AS114	M72	1	1
AS115	M141	1	1
AS116	M6	1	1
AS117	M63	1	1
