CID	Molecule	washed	WID	mol_nHeavyAtoms	mol_MW	MID	core	core_nHeavyAtoms	core_MW
2345	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2	O=C(OCc1ccccc1)c1ccccc1	W0	16	212	M1	O=C(OCc1ccccc1)c1ccccc1	16	212
7194	C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2	O=C(OCCc1ccccc1)c1ccccc1	W1	17	226	M2	O=C(OCCc1ccccc1)c1ccccc1	17	226
8363	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O	O=C(OCc1ccccc1)c1ccccc1O	W2	17	228	M3	O=C(OCc1ccccc1)c1ccccc1O	17	228
11502	C1=CC=C(C=C1)C=CC2=CC=CC=C2	C(=Cc1ccccc1)c1ccccc1	W3	14	180	M4	C(=Cc1ccccc1)c1ccccc1	14	180
638088	C1=CC=C(C=C1)/C=C/C2=CC=CC=C2	C(=Cc1ccccc1)c1ccccc1	W3	14	180	M4	C(=Cc1ccccc1)c1ccccc1	14	180
108042	C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O	O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1	W4	21	284	M5	O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1	21	284
5281787	C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O	O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1	W4	21	284	M5	O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1	21	284
520616	C1=CC=C(C=C1)C2=CC(=CS2)C3=CC=CC=C3	c1ccc(-c2csc(-c3ccccc3)c2)cc1	W5	17	236	M6	c1ccc(-c2csc(-c3ccccc3)c2)cc1	17	236
555844	C1CN(N=C1C2=CC=CC=C2[N+](=O)[O-])C3=CC=CC=C3	O=[N+]([O-])c1ccccc1C1=NN(c2ccccc2)CC1	W6	20	267	M7	O=[N+]([O-])c1ccccc1C1=NNCC1	14	191
555844	C1CN(N=C1C2=CC=CC=C2[N+](=O)[O-])C3=CC=CC=C3	O=[N+]([O-])c1ccccc1C1=NN(c2ccccc2)CC1	W6	20	267	M8	O=[N+]([O-])c1ccccc1C1=NN(c2ccccc2)CC1	20	267
584904	COC1=CC=CC=C1C(=O)OCC2=CC=CC=C2	COc1ccccc1C(=O)OCc1ccccc1	W7	18	242	M9	COc1ccccc1C(=O)OCc1ccccc1	18	242
637760	C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2	O=C(C=Cc1ccccc1)c1ccccc1	W8	16	208	M10	O=C(C=Cc1ccccc1)c1ccccc1	16	208
1550890	C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2	O=C(C=Cc1ccccc1)OCC=Cc1ccccc1	W9	20	264	M11	O=C(C=Cc1ccccc1)OCC=Cc1ccccc1	20	264
5273469	C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2	O=C(C=Cc1ccccc1)OCc1ccccc1	W10	18	238	M12	O=C(C=Cc1ccccc1)OCc1ccccc1	18	238
