CID	Molecule	washed	WID	mol_nHeavyAtoms	mol_MW	MID	core	core_nHeavyAtoms	core_MW
46886755	CCC(=O)O[C@@H]1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	CCC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	W129	24	328	M11	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21	19	256
72281	COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O	COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O	W9	22	302	M12	COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O	22	302
73201	COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=CC=C3)O	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	W10	20	270	M13	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	20	270
4101463	COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	W10	20	270	M13	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	20	270
6950539	COC1=CC(=C2C(=O)C[C@@H](OC2=C1)C3=CC=CC=C3)O	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	W10	20	270	M13	COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O	20	270
73202	C1=CC=C(C=C1)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O	O=C1c2c(O)cc(O)cc2OC(c2ccccc2)C1O	W11	20	272	M14	O=C1c2c(O)cc(O)cc2OC(c2ccccc2)C1O	20	272
148556	CC(=O)O[C@@H]1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	W20	23	314	M14	O=C1c2c(O)cc(O)cc2OC(c2ccccc2)C1O	20	272
9839825	CC(=O)OC1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	W20	23	314	M14	O=C1c2c(O)cc(O)cc2OC(c2ccccc2)C1O	20	272
46886755	CCC(=O)O[C@@H]1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	CCC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	W129	24	328	M14	O=C1c2c(O)cc(O)cc2OC(c2ccccc2)C1O	20	272
73207	COC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC=C(C=C3)O)OC)OC	COc1c(OC)c(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC	W12	25	344	M15	COc1c(OC)c(O)c2c(=O)ccoc2c1OC	18	252
