ASID	WID
AS1	W20
AS1	W129
AS1	W11
AS1	W8
AS2	W62
AS3	W35
AS4	W110
AS4	W64
AS4	W94
AS4	W58
AS4	W109
AS5	W6
AS6	W22
AS7	W7
AS8	W134
AS9	W112
AS9	W56
AS10	W130
AS10	W49
AS11	W47
AS12	W39
AS13	W38
AS14	W70
AS15	W97
AS15	W75
AS16	W12
AS17	W24
AS18	W37
AS19	W53
AS19	W80
AS20	W71
AS21	W26
AS22	W74
AS22	W88
AS23	W61
AS23	W69
AS24	W89
AS25	W40
AS26	W121
AS27	W82
AS28	W118
AS29	W113
AS30	W120
AS31	W108
AS31	W103
AS32	W102
AS33	W73
AS33	W66
AS34	W87
AS34	W65
AS35	W93
AS35	W63
AS36	W111
AS37	W107
AS38	W99
AS39	W100
AS40	W95
AS40	W52
AS41	W18
AS42	W106
AS43	W27
AS44	W133
AS45	W60
AS46	W127
AS47	W123
AS48	W104
AS49	W28
AS50	W83
AS51	W59
AS52	W76
AS53	W14
AS54	W90
AS55	W81
AS56	W92
AS57	W25
AS58	W46
AS59	W13
AS60	W91
AS61	W10
AS62	W131
AS63	W19
AS64	W21
AS65	W43
AS66	W98
AS67	W54
AS68	W86
AS69	W50
AS70	W85
AS71	W51
AS72	W57
AS73	W77
AS74	W101
AS75	W23
AS76	W9
AS77	W128
AS78	W32
AS79	W15
AS80	W30
AS81	W122
AS82	W42
AS83	W41
AS84	W117
AS85	W4
AS86	W3
AS87	W116
AS88	W29
AS89	W16
AS90	W125
AS91	W124
AS92	W96
AS93	W115
AS94	W36
AS95	W132
AS96	W119
AS97	W45
AS98	W114
AS99	W68
AS100	W33
AS101	W1
AS102	W17
AS103	W126
AS104	W2
AS105	W31
AS106	W0
AS107	W34
AS108	W44
AS109	W67
AS110	W84
AS111	W79
AS112	W72
AS113	W78
AS114	W55
AS115	W105
AS116	W5
AS117	W48
