CID,Molecule
591830,COC1=C(C=CC(=C1)O)C2CC3=C(C=C(C=C3)O)OC2
612994,C1=CC2=C3C(=C1)C(=O)NC4=CC=CC(=C43)C=C2
638278,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O
667495,C1[C@@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
667544,C1[C@@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
1268276,COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC(=C(C=C3)O)O)O
3083788,CC1=C(C2=C(C(=C1OC)C)OC(=CC2=O)C3=CC=C(C=C3)O)O
3347979,C1C2C(C3=C(O1)C=C(C=C3)O)OC4=C2C=CC(=C4)O
4101463,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O
4872981,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC(=C(C=C3)O)O)O
5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
5280373,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O
5280378,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
5280417,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O
5280441,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
5280442,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
5280448,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O
5280459,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
5280666,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
5280681,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O
5280704,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
5280746,C1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
5280804,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
5280805,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
5280862,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
5281295,C1=CC(=C(C=C1/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O)O
5281377,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
5281617,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O
5281628,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O
5281643,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O
5281654,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
5281666,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
5281670,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
5281672,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
5281675,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
5281691,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O
5281698,COC1=C(C=C(C2=C1OC(=C(C2=O)O)C3=CC=C(C=C3)O)O)O
5281702,COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
5281803,COC1=C(C=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O)O
5281812,COC1=CC=C(C=C1)C2=COC3=CC(=C(C=C3C2=O)O)O
5281946,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
5281954,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O
5315202,COC1=CC(=CC2=C1C(=O)C=C(O2)C3=CC=C(C=C3)O)O
5316793,COC1=CC(=C(C(=C1)O)C(=O)/C=C/C2=CC=CC=C2)O
5317747,COC1=CC(=C2C(=C1)OC(C(C2=O)O)C3=CC=CC=C3)O
5318214,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O
5318645,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
5318767,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O
5318869,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC=C(C=C3)O)O
5319733,COC1=C(C2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)O)OC
5320315,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O
5320438,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O
5320462,COC1=C(C(=C2C(=C1)OC(=C(C2=O)OC)C3=CC=C(C=C3)O)O)OC
5320946,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC=C(C=C3)O)O
5352001,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC
5352032,COC1=C(C2=C(C=C1O)OC(=C(C2=O)OC)C3=CC=C(C=C3)O)O
5377945,COC1=C(C2=C(C=C1O)OC(=C(C2=O)O)C3=CC=C(C=C3)O)O
5379096,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)O
5391140,C1=CC(=CC(=C1)O)C2=CC(=O)C3=C(O2)C=C(C=C3)O
5393151,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=CC=C3O2)O)O
5393152,C1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O
5459196,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)OC)O)O
5481663,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O
5484066,C1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
5488105,COC1=CC(=CC2=C1C(=O)C(=C(O2)C3=CC=CC=C3)O)O
5490064,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O)O)O
5491798,COC1=C(C2=C(C(=C1)O)C(=O)C(=C(O2)C3=CC=CC=C3)O)OC
6474295,C1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2O)O)O
6950539,COC1=CC(=C2C(=O)C[C@@H](OC2=C1)C3=CC=CC=C3)O
9839825,CC(=O)OC1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
9985362,C1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
10065830,CC1=C(C(=C2C(=C1O)C(=O)C(=CO2)CC3=CC4=C(C=C3)OCO4)C)O
11536537,COC1=CC2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4O)O
13990811,COC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2O)O)O
14058036,COC1=CC(=C(C=C1)[C@H]2CC3=C(C=C(C=C3)OC)OC2)O
14077830,COC1=C(C2=C(C=C1)[C@@H]3COC4=C([C@@H]3O2)C=CC(=C4)O)OC
14079475,COC1=C(C=CC2=C1OC(=C(C2=O)O)C3=CC=CC=C3)O
14440596,C1=CC=C(C=C1)C(=O)/C=C/C2=C(C=C(C=C2O)O)O
15233950,C1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O
16211399,C1[C@@]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
21676187,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=CC=C3)O
24772948,COC1=C(C(=C(C=C1)C2COC3=C(C2=O)C=CC(=C3)O)OC)O
25203368,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)[O-]
25244999,C1[C@@]([C@H](C(O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
42607832,COC1=C(C=CC2=C1OC(CC2=O)C3=CC=CC=C3)O
44257448,COC1=C(C2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)O)O
44257510,COC1=CC2=C(CC(CO2)C3=C(C=C(C=C3)O)O)C=C1
44257674,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)[C@H]4C([C@H]([C@@H](C(O4)CO)O)O)O)O)[C@H]5C([C@H]([C@@H](C(O5)CO)O)O)O)O)O
44257793,C1[C@](C([C@@H](O1)OC2[C@H]([C@@H](C(O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
44335549,C1C(OC2=C(C1=O)C=CC(=C2O)O)C3=CC=CC=C3
44446838,COC1=C(C2=C(C=C1O)O[C@@H]([C@H](C2=O)O)C3=CC=CC=C3)O
44446856,COC1=CC(=C(C=C1)[C@@H]2CC3=C(C=C(C=C3)OC)OC2)O
44446883,COC1=CC(=C(C=C1)[C@H]2COC3=CC(=CC(=C3C2=O)O)O)O
44446884,COC1=C(C(=C(C=C1)[C@H]2COC3=C(C2=O)C=CC(=C3)O)OC)O
44446897,COC1=CC(=C(C=C1)[C@H]2COC3=C(C2=O)C=CC(=C3)O)O
46882564,C1[C@]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
46886755,CCC(=O)O[C@@H]1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
53951317,C1=CC=C(C=C1)C(=O)C=CC2=C(C=C(C=C2O)O)O
56843093,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC(=CC(=C2O)O)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O)O)O)O
67218246,COC1=CC(=CC(=C1C=CC(=O)C2=CC=CC=C2)O)O
68146761,C1=CC=C(C=C1)C(=O)C=CC2C(C=C(C=C2O)O)O
118855455,C1=CC(=CC=C1C2[C@@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O
129864321,COC1=CC(C(C(=C1)O)C=CC(=O)C2=CC=CC=C2)O
65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
