ASID	WID
AS280	W843
AS281	W619
AS282	W1099
AS283	W839
AS284	W834
AS285	W570
AS286	W804
AS287	W803
AS288	W528
AS289	W798
AS290	W836
AS291	W1092
AS292	W832
AS293	W825
AS294	W822
AS295	W721
AS296	W830
AS297	W829
AS298	W828
AS299	W827
AS300	W831
AS301	W801
AS302	W1128
AS303	W1129
AS304	W691
AS305	W688
AS306	W419
AS307	W687
AS308	W562
AS309	W670
AS310	W389
AS311	W397
AS312	W379
AS312	W381
AS313	W380
AS314	W370
AS315	W425
AS316	W390
AS317	W363
AS318	W199
AS318	W350
AS318	W426
AS319	W431
AS320	W680
AS320	W427
AS320	W430
AS321	W201
AS321	W336
AS322	W428
AS323	W207
AS323	W292
AS324	W796
AS324	W792
AS325	W200
AS326	W810
AS327	W811
AS328	W812
AS329	W813
AS330	W815
AS331	W809
AS332	W761
AS332	W443
AS332	W464
AS332	W936
AS333	W877
AS334	W921
AS335	W742
AS336	W774
AS337	W773
AS338	W984
AS339	W457
AS339	W458
AS340	W764
AS340	W1181
AS341	W855
AS341	W852
AS342	W708
AS342	W710
AS343	W229
AS344	W184
AS345	W948
AS346	W1025
AS346	W1028
AS347	W949
AS348	W76
AS349	W6
AS350	W1117
AS350	W1029
AS351	W611
AS352	W1125
AS353	W1000
AS354	W945
AS355	W88
AS355	W87
AS356	W144
AS357	W34
AS358	W1119
AS359	W1024
AS359	W997
AS360	W946
AS361	W94
AS362	W66
AS362	W67
AS363	W998
AS363	W994
AS364	W47
AS365	W121
AS366	W124
AS367	W30
AS368	W125
AS369	W97
AS370	W95
AS371	W951
AS372	W90
AS372	W35
AS373	W89
AS374	W953
AS374	W1001
AS375	W84
AS375	W83
AS376	W105
AS376	W1027
AS377	W49
AS378	W950
AS379	W145
AS380	W71
AS381	W69
AS381	W70
AS382	W12
AS383	W952
AS384	W618
AS385	W343
AS386	W1081
AS387	W957
AS388	W881
AS389	W880
AS390	W879
AS391	W875
AS392	W1132
AS393	W554
AS394	W502
AS395	W859
AS396	W536
AS397	W526
AS398	W863
AS399	W1108
AS400	W868
AS401	W864
AS402	W601
AS403	W870
AS404	W866
AS405	W867
AS406	W856
AS407	W871
AS408	W1110
AS409	W524
AS410	W433
AS411	W851
AS412	W567
AS413	W648
AS414	W514
AS415	W647
AS416	W652
AS417	W643
AS418	W745
AS419	W626
AS420	W1113
AS421	W517
AS422	W726
AS423	W646
AS424	W1080
AS425	W1158
AS426	W627
AS427	W638
AS428	W747
AS429	W608
AS430	W725
AS431	W1116
AS432	W1141
AS433	W509
AS434	W480
AS435	W653
AS436	W748
AS437	W749
AS438	W644
AS439	W1151
AS440	W516
AS441	W1160
AS442	W451
AS443	W1077
AS444	W401
AS445	W1079
AS446	W862
AS447	W752
AS448	W758
AS449	W1161
AS450	W1162
AS451	W701
AS452	W73
AS453	W865
AS454	W872
AS455	W634
AS456	W659
AS457	W628
AS458	W860
AS459	W630
AS460	W678
AS461	W697
AS462	W1073
AS463	W330
AS464	W1070
AS465	W301
AS466	W284
AS467	W1069
AS468	W281
AS469	W272
AS470	W263
AS471	W261
AS472	W257
AS473	W254
AS474	W250
AS475	W245
AS476	W240
AS477	W236
AS478	W1068
AS479	W55
AS480	W51
AS481	W102
AS482	W129
AS483	W128
AS484	W24
AS485	W108
AS486	W1075
AS487	W133
AS488	W39
AS489	W656
AS490	W1074
AS491	W530
AS492	W791
AS493	W790
AS494	W776
AS495	W714
AS496	W551
AS497	W775
AS498	W707
AS499	W783
AS500	W593
AS501	W614
AS502	W781
AS503	W613
AS504	W780
AS505	W778
AS506	W757
AS507	W511
AS508	W789
AS509	W743
AS510	W1133
AS511	W724
AS512	W755
AS513	W1115
AS514	W723
AS515	W746
AS516	W472
AS517	W720
AS518	W1127
AS519	W717
AS520	W1126
AS521	W716
AS522	W477
AS523	W706
AS524	W705
AS525	W703
AS526	W733
AS527	W735
AS528	W734
AS529	W736
AS530	W737
AS531	W731
AS532	W728
AS533	W730
AS534	W695
AS535	W1148
AS536	W699
AS537	W696
AS538	W700
AS539	W642
AS540	W645
AS541	W651
AS542	W650
AS543	W649
AS544	W1153
AS545	W1156
AS546	W658
AS547	W637
AS548	W633
AS549	W1154
AS550	W632
AS551	W1164
AS552	W631
AS553	W629
AS554	W625
AS555	W624
AS556	W636
AS557	W1169
AS558	W1149
AS559	W1165
AS560	W641
AS561	W640
AS562	W1159
AS563	W1150
AS564	W654
AS565	W660
AS566	W616
AS567	W740
AS568	W510
AS569	W620
AS570	W1140
AS571	W1145
AS572	W603
AS573	W476
AS574	W475
AS575	W599
AS576	W600
AS577	W1136
AS578	W492
AS579	W581
AS580	W580
AS581	W579
AS582	W578
AS583	W575
AS584	W669
AS585	W478
AS586	W503
AS587	W1137
AS588	W1114
AS589	W605
AS590	W500
AS591	W606
AS592	W501
AS593	W607
AS594	W523
AS595	W604
AS596	W484
AS597	W553
AS598	W550
AS599	W549
AS600	W548
AS601	W535
AS602	W529
AS603	W537
AS604	W483
AS605	W534
AS606	W522
AS607	W1138
AS608	W487
AS609	W485
AS610	W521
AS611	W569
AS612	W520
AS613	W519
AS614	W1094
AS615	W493
AS616	W515
AS617	W1095
AS618	W498
AS619	W525
AS620	W506
AS621	W507
AS622	W488
AS623	W508
AS624	W505
AS625	W499
AS626	W504
AS627	W495
AS628	W497
AS629	W496
AS630	W490
AS631	W1109
AS632	W486
AS633	W1142
AS634	W1112
AS635	W489
AS636	W482
AS637	W481
AS638	W479
AS639	W474
AS640	W473
AS641	W1135
AS642	W471
AS643	W470
AS644	W491
AS645	W666
AS646	W1090
AS647	W1089
AS648	W663
AS649	W1087
AS650	W1086
AS651	W1083
AS652	W1085
AS653	W1084
AS654	W1082
AS655	W468
AS656	W465
AS657	W469
AS658	W462
AS659	W461
AS660	W683
AS661	W456
AS662	W679
AS663	W449
AS664	W439
AS665	W438
AS666	W677
AS667	W675
AS668	W674
AS669	W437
AS670	W435
AS671	W434
AS672	W454
AS673	W453
AS674	W452
AS675	W402
AS676	W385
AS677	W415
AS678	W383
AS679	W382
AS680	W377
AS681	W376
AS682	W375
AS683	W371
AS684	W362
AS685	W357
AS686	W369
AS687	W354
AS688	W322
AS689	W302
AS690	W349
AS691	W356
AS692	W344
AS693	W341
AS694	W331
AS695	W320
AS696	W316
AS697	W315
AS698	W310
AS699	W305
AS700	W296
AS701	W293
AS702	W291
AS703	W285
AS704	W282
AS705	W280
AS706	W279
AS707	W275
AS708	W271
AS709	W268
AS710	W266
AS711	W262
AS712	W260
AS713	W256
AS714	W253
AS715	W249
AS716	W248
AS717	W244
AS718	W243
AS719	W239
AS720	W238
AS721	W235
AS722	W234
AS723	W233
AS724	W232
AS725	W230
AS726	W228
AS727	W227
AS728	W226
AS729	W225
AS730	W224
AS731	W223
AS732	W222
AS733	W221
AS734	W220
AS735	W219
AS736	W218
AS737	W217
AS738	W216
AS739	W215
AS740	W214
AS741	W213
AS742	W212
AS743	W276
AS744	W210
AS745	W211
AS746	W209
AS747	W208
AS748	W206
AS749	W205
AS750	W298
AS751	W297
AS752	W202
AS753	W198
AS754	W196
AS755	W195
AS756	W194
AS757	W192
AS758	W386
AS759	W403
AS760	W185
AS761	W183
AS762	W421
AS763	W182
AS764	W181
AS765	W176
AS766	W170
AS767	W171
AS768	W169
AS769	W447
AS770	W446
AS771	W444
AS772	W445
AS773	W441
AS774	W442
AS775	W448
AS776	W440
AS777	W168
AS778	W167
AS779	W165
AS780	W771
AS781	W46
AS782	W166
AS783	W85
AS784	W91
AS785	W96
AS786	W81
AS787	W82
AS788	W103
AS789	W52
AS790	W56
AS791	W104
AS792	W106
AS793	W754
AS794	W588
AS795	W595
AS796	W119
AS797	W118
AS798	W115
AS799	W112
AS800	W111
AS801	W100
AS802	W80
AS803	W787
AS804	W72
AS805	W68
AS806	W542
AS807	W63
AS808	W62
AS809	W64
AS810	W65
AS811	W61
AS812	W60
AS813	W50
AS814	W48
AS815	W541
AS816	W99
AS817	W98
AS818	W143
AS819	W512
AS820	W120
AS821	W147
AS822	W146
AS823	W123
AS824	W122
AS825	W142
AS826	W32
AS827	W33
AS828	W29
AS829	W28
AS830	W130
AS831	W31
AS832	W131
AS833	W27
AS834	W37
AS835	W36
AS836	W45
AS837	W140
AS838	W78
AS839	W25
AS840	W75
AS841	W79
AS842	W148
AS843	W74
AS844	W26
AS845	W44
AS846	W136
AS847	W23
AS848	W127
AS849	W612
AS850	W777
AS851	W22
AS852	W10
AS853	W8
AS854	W11
AS855	W9
AS856	W7
AS857	W93
AS858	W86
AS859	W92
AS860	W985
AS861	W782
AS862	W19
AS863	W141
AS864	W544
AS865	W17
AS866	W16
AS867	W15
AS868	W14
AS869	W13
AS870	W756
AS871	W3
AS872	W5
AS873	W1103
AS874	W1107
AS875	W623
AS876	W609
AS877	W621
AS878	W610
AS879	W576
AS880	W584
AS881	W597
AS882	W598
AS883	W589
AS884	W543
AS885	W540
AS886	W566
AS887	W564
AS888	W596
AS889	W563
AS890	W615
AS891	W602
AS892	W561
AS893	W568
AS894	W559
AS895	W594
AS896	W552
AS897	W558
AS898	W556
AS899	W557
AS900	W592
AS901	W539
AS902	W1111
AS903	W585
AS904	W586
AS905	W547
AS906	W545
AS907	W1065
AS908	W942
AS909	W944
AS910	W1066
AS911	W913
AS912	W910
AS913	W1208
AS914	W918
AS915	W964
AS916	W965
AS917	W935
AS918	W932
AS919	W925
AS920	W930
AS921	W1010
AS922	W970
AS923	W931
AS924	W974
AS925	W973
AS926	W992
AS927	W1197
AS928	W962
AS929	W969
AS930	W934
AS931	W929
AS932	W928
AS933	W966
AS934	W963
AS935	W1033
AS936	W885
AS937	W986
AS938	W1052
AS939	W896
AS940	W1053
AS941	W897
AS942	W898
AS943	W899
AS944	W892
AS945	W887
AS946	W886
AS947	W888
AS948	W883
AS949	W878
AS950	W1206
AS951	W1202
AS952	W1037
AS953	W993
AS954	W906
AS955	W893
AS956	W917
AS957	W1011
AS958	W938
AS959	W908
AS960	W1042
AS961	W1020
